,alti,drct,dwpf,feel,mslp,relh,sknt,tmpf,valid,vsby,skyc1_CLR,skyc1_FEW,skyc1_OVC,skyc1_SCT,skyc1_VV 
5557,30.205995948586995,164.00390875761423,73.15985106777558,88.85,1020.400010697094,72.1413757685559,1.7999828813535144,82.4,16-07-2021 16:15,10.0,0,0,0,0,0
5558,30.181996462146397,204.99509602867485,72.51979058189133,90.06,1019.6000106970938,67.41927830639524,3.999942937845048,83.7,16-07-2021 17:15,10.0,0,0,0,1,0
5559,30.157996405084237,212.4969684000285,72.3997546327337,93.58,1018.800010697094,63.86535243013452,4.599922966090815,85.5,16-07-2021 18:15,10.0,0,0,0,1,0
5560,30.141996462146388,202.4998216705899,71.57979571748527,95.66,1018.1000106970938,58.2755086377837,5.799954350276038,87.8,16-07-2021 19:15,10.0,0,0,0,1,0
5561,30.12399620536669,185.99766045164696,69.7998316666429,92.12,1017.450008914245,54.297647327351314,4.799968615814776,87.3,16-07-2021 20:15,10.0,0,0,0,1,0
5562,30.09749625561657,203.7515155837672,70.53732169602739,90.64,1017.250012479943,58.97871665715712,6.25,87.1,16-07-2021 21:07,10.0,0,1,0,0,0
5563,30.095996918951297,214.00172595783528,71.259850797364,88.77,1017.150008914245,66.52232305366161,6.299945796365504,86.0,16-07-2021 22:06,10.0,1,0,0,0,0
5564,30.107775004160427,137.50996282329027,71.83301159372053,88.31,1017.950016045641,75.60972343072693,3.889253421455119,84.0,16-07-2021 23:06,10.0,0,1,0,0,0
5565,30.115997888896025,129.0024320488407,70.4896570169245,84.16,1018.1000071313958,80.49084337177538,3.0000998495125204,81.0,17-07-2021 00:06,9.89998644899473,0,0,0,1,0
5566,30.14999800282457,94.00505000071328,71.97968159317536,75.0,1019.2000106970938,90.11309904563544,1.8001968644345854,75.0,17-07-2021 01:15,10.0,1,0,0,0,0
5567,30.16856864842835,101.44245758826229,70.31386316164858,77.0,1020.000010697094,84.50553456620307,1.8573946711498293,77.0,17-07-2021 02:04,10.0,0,1,0,0,0
5568,30.165995948587003,0.0,71.53988074009614,73.6,1019.2000106970938,93.7934468394699,0.6001369491718854,73.6,17-07-2021 03:15,10.0,1,0,0,0,0
5569,30.165997232485488,104.00148361602876,70.95995520620835,72.3,1019.2000106970938,92.25146392958528,1.2000171186464856,72.3,17-07-2021 04:15,10.0,1,0,0,0,0
5570,30.163996918643637,88.00154067818372,70.27996405084238,72.1,1019.2000106970938,92.88789212399608,1.2000599152626998,72.1,17-07-2021 05:15,10.0,0,0,0,1,0
5571,30.147996975705787,0.0,69.96000513559395,71.1,1018.7000106970938,95.82569237792266,0.0,71.1,17-07-2021 06:15,10.0,1,0,0,0,0
5572,30.14799768898272,0.0,69.59998716101514,70.0,1018.700014262792,96.54959728384144,0.0,70.0,17-07-2021 07:15,10.0,1,0,0,0,0
5573,30.15199717542333,56.01278192270931,68.8800282457667,69.6,1018.850012479943,97.45968244910767,0.6001369491718854,69.6,17-07-2021 08:15,10.0,1,0,0,0,0
5574,30.16399820254212,0.0,68.48007960170615,68.5,1019.650012479943,97.66165651435828,0.0,68.5,17-07-2021 09:15,8.80015406781837,1,0,0,0,0
5575,30.18799768898273,54.008473730010415,68.02013866103653,67.6,1020.300014262792,97.72964778384856,0.800125536740895,67.6,17-07-2021 10:15,9.400077033909186,1,0,0,0,0
5576,30.19833016333421,45.00534937352892,69.766770880388,71.1,1020.800010697094,97.39139071824256,0.6667459166448729,71.1,17-07-2021 11:00,9.500083212477117,0,1,0,0,0
5577,30.215997232485485,192.0041655373115,70.57987417794834,72.1,1021.1500053485468,88.34121685045434,3.200216836188819,72.1,17-07-2021 12:15,10.0,1,0,0,0,0
